assay	mean_NN_tanimoto_sim	NN_label_concordance_overall	NN_label_concordance_actives	NN_label_concordance_inactives	5NN_active_frac_among_active_query	5NN_active_frac_among_inactive_query
OT_ER_ERbERb_1440	0.4866564780246431	0.8374930671103716	0.39111111111111113	0.9011406844106464	0.3564444444444445	0.10266159695817491
OT_AR_ARELUC_AG_1440	0.486656478024643	0.8729894620077648	0.13432835820895522	0.9322947872977831	0.11940298507462686	0.06974236069502697
CCTE_Deisenroth_AIME_384WELL_LUC_Active	0.4192660921561367	0.8239247311827957	0.38235294117647056	0.8940809968847352	0.27450980392156865	0.10778816199376948
TOX21_GR_BLA_Agonist_ratio	0.5573407714303472	0.9346619576185671	0.39913232104121477	0.9677246551493237	0.33622559652928424	0.03163251640551761
OT_AR_ARSRC1_0960	0.486656478024643	0.7953410981697171	0.42670157068062825	0.8944405348346235	0.36701570680628276	0.1151301900070373
TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881	0.5505911377288936	0.8261273209549072	0.4996461429582449	0.9014199445079157	0.40552016985138006	0.10190958054512814
CCTE_Deisenroth_AIME_384WELL_LUC_Inactive	0.4192660921561366	0.8024193548387096	0.3300970873786408	0.8783151326053042	0.27378640776699026	0.11138845553822153
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Cytoplasm_Ratio_Antagonist	0.49405253339305244	0.9065616797900262	0.2631578947368421	0.9548532731376975	0.15789473684210525	0.051467268623024844
ACEA_AR_antagonist_80hr	0.48575622708139893	0.6967995508141493	0.47700170357751276	0.804857621440536	0.4374787052810903	0.20485762144053601
OT_ER_ERaERa_1440	0.48665647802464296	0.8973932334997227	0.39285714285714285	0.9398677089597114	0.33142857142857146	0.05351773902585689
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Antagonist	0.49405253339305244	0.7753280839895013	0.3687150837988827	0.8694246929541047	0.3134078212290503	0.13445378151260504
TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881	0.5573407714303472	0.8816851664984864	0.4303931987247609	0.9424645770717046	0.31710945802337936	0.06094174896235867
NVS_NR_hER	0.4542250138166845	0.8197573656845754	0.42105263157894735	0.8983402489626556	0.3915789473684211	0.12655601659751037
ACEA_ER_80hr	0.5257801582451778	0.8811053984575835	0.2899628252788104	0.9370383397819205	0.2371747211895911	0.06465001758705594
NVS_NR_bER	0.4457106975140212	0.9089201877934272	0.42045454545454547	0.9529170931422722	0.3772727272727273	0.06427840327533264
OT_ER_ERaERb_0480	0.486656478024643	0.8735440931780366	0.48792270531400966	0.9235588972431078	0.4454106280193237	0.08095238095238094
TOX21_ERa_BLA_Agonist_ratio	0.5573407714303472	0.934409687184662	0.3783132530120482	0.9651271130041262	0.30987951807228914	0.03609743111939305
TOX21_ERa_LUC_VM7_Antagonist_0.1nM_E2	0.5505911377288935	0.8694960212201591	0.4553941908713693	0.9302007299270073	0.34232365145228216	0.07268856447688564
OT_ERa_GFPERaERE_0480	0.486656478024643	0.8696616749861342	0.3081081081081081	0.9338689740420272	0.26918918918918916	0.0657601977750309
