assay	n_molecules	n_matched_pairs_total	n_activity_cliff_pairs	frac_mmp_that_are_cliffs	n_active	cliff_pairs_per_active	frac_actives_in_mmp_series	frac_actives_involved_in_cliff	frac_of_analog_actives_that_are_cliffy
ACEA_AR_agonist_80hr	1775	1193	87	0.07292539815590947	81	1.0740740740740742	0.3950617283950617	0.345679012345679	0.875
TOX21_ERb_BLA_Agonist_ratio	7539	11403	150	0.013154433043935806	138	1.0869565217391304	0.2971014492753623	0.2391304347826087	0.8048780487804879
ATG_ERE_CIS	3725	4554	1069	0.2347386912604304	754	1.4177718832891246	0.3620689655172414	0.2506631299734748	0.6923076923076923
TOX21_GR_BLA_Antagonist_ratio	7927	10598	520	0.04906586148329874	637	0.8163265306122449	0.2857142857142857	0.1836734693877551	0.6428571428571429
TOX21_ERb_BLA_Antagonist_ratio	7539	11403	1567	0.13741997719898272	1396	1.1224928366762177	0.24641833810888253	0.16332378223495703	0.6627906976744186
OT_ER_ERbERb_0480	1802	1312	135	0.10289634146341463	203	0.6650246305418719	0.3645320197044335	0.22167487684729065	0.6081081081081081
OT_ER_ERaERa_0480	1802	1312	92	0.0701219512195122	131	0.7022900763358778	0.37404580152671757	0.22900763358778625	0.6122448979591837
OT_ER_ERbERb_1440	1802	1312	186	0.14176829268292682	225	0.8266666666666667	0.3511111111111111	0.2222222222222222	0.6329113924050633
OT_AR_ARELUC_AG_1440	1802	1312	179	0.1364329268292683	134	1.335820895522388	0.3283582089552239	0.2835820895522388	0.8636363636363636
CCTE_Deisenroth_AIME_384WELL_LUC_Active	744	258	27	0.10465116279069768	102	0.2647058823529412	0.24509803921568626	0.13725490196078433	0.56
TOX21_GR_BLA_Agonist_ratio	7927	10598	342	0.03227023966786186	461	0.7418655097613883	0.22125813449023862	0.13449023861171366	0.6078431372549019
OT_AR_ARSRC1_0960	1802	1312	180	0.13719512195121952	381	0.47244094488188976	0.23097112860892388	0.13648293963254593	0.5909090909090909
TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881	7539	11403	978	0.08576690344646146	1413	0.692144373673036	0.24628450106157113	0.1542816702052371	0.6264367816091954
CCTE_Deisenroth_AIME_384WELL_LUC_Inactive	744	258	30	0.11627906976744186	103	0.2912621359223301	0.27184466019417475	0.1553398058252427	0.5714285714285714
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Cytoplasm_Ratio_Antagonist	1904	1398	105	0.07510729613733906	133	0.7894736842105263	0.2857142857142857	0.23308270676691728	0.8157894736842105
ACEA_AR_antagonist_80hr	1780	1193	225	0.18860016764459347	586	0.3839590443686007	0.2235494880546075	0.13139931740614336	0.5877862595419847
OT_ER_ERaERa_1440	1802	1312	100	0.07621951219512195	140	0.7142857142857143	0.35714285714285715	0.21428571428571427	0.6
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Antagonist	1904	1398	197	0.14091559370529327	358	0.5502793296089385	0.2877094972067039	0.1871508379888268	0.6504854368932039
TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881	7927	10598	538	0.05076429515002831	941	0.5717321997874601	0.20297555791710944	0.15196599362380447	0.7486910994764397
NVS_NR_hER	1153	457	77	0.16849015317286653	189	0.4074074074074074	0.291005291005291	0.15343915343915343	0.5272727272727272
ACEA_ER_80hr	3111	3536	354	0.1001131221719457	269	1.3159851301115242	0.3271375464684015	0.25650557620817843	0.7840909090909091
NVS_NR_bER	1064	338	43	0.12721893491124261	87	0.4942528735632184	0.3333333333333333	0.1839080459770115	0.5517241379310345
OT_ER_ERaERb_0480	1802	1312	115	0.08765243902439024	207	0.5555555555555556	0.3719806763285024	0.20772946859903382	0.5584415584415584
TOX21_ERa_BLA_Agonist_ratio	7927	10598	425	0.040101906020003776	415	1.0240963855421688	0.3204819277108434	0.20963855421686747	0.6541353383458647
TOX21_ERa_LUC_VM7_Antagonist_0.1nM_E2	7539	11403	707	0.0620012277470841	964	0.733402489626556	0.21161825726141079	0.14937759336099585	0.7058823529411765
OT_ERa_GFPERaERE_0480	1802	1312	102	0.07774390243902439	184	0.5543478260869565	0.266304347826087	0.15760869565217392	0.5918367346938775
