model	dr_method	representation	assay	z	mcc_avg	rank	average nn similarity
svm	variance	maccs	CEETOX_H295R_TESTO	0.2717546388455741	0.2652567737781817	1.0	0.2705362338277973
rf	none	morgan	NVS_NR_bER	0.6178986930532029	0.549663282833926	1.0	0.2889390774947153
rf	none	morgan	NVS_NR_hER	0.4616271662972826	0.4314094681881589	1.0	0.28490065207744736
rf	variance	morgan	NVS_NR_mERa	0.4027731643780262	0.3823192856638073	1.0	0.26884834312726613
svm	mrmr	physchem	OT_AR_ARELUC_AG_1440	0.0508914908662939	0.0508476009668799	1.0	0.30743903218397167
svm	variance	embeddings	OT_AR_ARSRC1_0480	0.3835457766206254	0.3657828054848028	1.0	0.31589044142914924
rf	none	physchem	OT_AR_ARSRC1_0960	0.5158879242681851	0.4745200724677347	1.0	0.30648565790800514
rf	mrmr	morgan	OT_ER_ERaERa_0480	0.3781427671728085	0.3610934808080373	1.0	0.3290294291102724
rf	none	morgan	OT_ER_ERaERa_1440	0.3760463363497834	0.3592690220031662	1.0	0.32304965076176734
tabpfn	mrmr	physchem	OT_ER_ERaERb_0480	0.506727384187752	0.4673914169089918	1.0	0.32023797147966393
rf	variance	maccs	OT_ER_ERaERb_1440	0.3539584964667174	0.3398814562595045	1.0	0.32551485414853987
rf	variance	physchem	OT_ER_ERbERb_0480	0.4766691074946427	0.443572048457567	1.0	0.3023108038754944
cat_boost	none	physchem	OT_ER_ERbERb_1440	0.4396924806735687	0.4133895075272038	1.0	0.3140897312058188
svm	mrmr	embeddings	OT_ERa_GFPERaERE_0120	0.2513962112654971	0.2462306722202913	1.0	0.3200861633195606
rf	none	morgan	OT_ERa_GFPERaERE_0480	0.3335504346677178	0.321707383415968	1.0	0.3097737960721628
svm	MI	physchem	TOX21_AR_BLA_Agonist_ratio	0.132283058281195	0.131516822528257	1.0	0.3388463232565146
rf	none	physchem	TOX21_AR_BLA_Antagonist_ratio	0.3814774230423676	0.3639898375903632	1.0	0.35606441972236097
rf	none	physchem	TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881	0.5296338795425386	0.4851011764945479	1.0	0.36321691711396537
rf	none	physchem	TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881	0.3317972873994294	0.320134793917172	1.0	0.34621423449801264
rf	none	physchem	TOX21_ERa_BLA_Agonist_ratio	0.195639242501494	0.1931808612224366	1.0	0.35565902797202076
rf	none	physchem	TOX21_ERa_BLA_Antagonist_ratio	0.3517761179505932	0.3379497550369334	1.0	0.32271480631269933
rf	none	physchem	TOX21_ERa_LUC_VM7_Agonist	0.2440942911226404	0.2393592317365783	1.0	0.34850760339310016
rf	none	physchem	TOX21_ERa_LUC_VM7_Antagonist_0.1nM_E2	0.3796617834347188	0.3624137096451998	1.0	0.366964911942377
rf	MI	physchem	TOX21_ERa_LUC_VM7_Antagonist_0.5nM_E2	0.3320440636147341	0.3203562614538318	1.0	0.34860023104681
svm	variance	maccs	TOX21_ERb_BLA_Agonist_ratio	0.0835409433989748	0.0833471378495425	1.0	0.35707191904459334
rf	none	physchem	TOX21_ERb_BLA_Antagonist_ratio	0.4424210293093787	0.4156492176166023	1.0	0.3506401625354064
rf	none	physchem	TOX21_GR_BLA_Agonist_ratio	0.2847725974923996	0.2773164492869469	1.0	0.35032236296551933
rf	none	maccs	TOX21_GR_BLA_Antagonist_ratio	0.243421269049509	0.238724666881813	1.0	0.3385739600563392
svm	MI	embeddings	UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Agonist	0.2907857123971972	0.2828578218955809	1.0	0.31573231865564916
svm	MI	physchem	UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Antagonist	0.362236148016226	0.3471821717057652	1.0	0.3160328498702604
svm	variance	embeddings	UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Cytoplasm_Ratio_Agonist	0.1838588000719772	0.1818147105026125	1.0	0.3120363941085658
svm	MI	physchem	UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Cytoplasm_Ratio_Antagonist	0.192334725065128	0.1899976440784631	1.0	0.3128136727868567
